,gam,gam_arima,gam_arima2,gam_sa,kal_gam_static,kal_gam_dyn_gs,kal_gam_dyn_em,kal_gam_dyn_big,rf,rf_arima,gb,gb_arima
107,46405.8241182347,45381.78358356779,46252.0663210819,41171.3573594069,46177.917910294185,45305.287461655615,45430.37588339152,44931.568401387565,45079.33124999998,46210.14752058776,45735.85751559488,46017.63106310601
108,46320.2821564996,45614.73088677307,46179.1484003149,41153.7437510534,46161.803212651175,45316.90940990535,45574.986273128976,45275.58843976597,45502.47020833333,45978.84200418079,46564.34903998327,46517.20328757107
109,45506.3652637094,44509.30203259654,45356.1818923515,40898.0338698696,45302.38866224563,44588.92990606349,44806.09466417401,45126.53566221334,44053.05645833334,44059.40892157046,45081.95592669224,44668.649027052095
110,40353.5045845282,39751.581513908764,40158.8581697379,40353.5045845282,40224.36219411868,40271.37179874988,39891.53318179124,41719.39679919204,40969.78499999999,41648.03676043344,40536.52580661044,40298.301176338144
111,38764.2254352991,38389.89823260984,38718.5690443235,38709.6046677842,38407.91203527981,38559.36389441804,38781.33977574959,41224.02092509705,37876.21770833334,38038.18140382545,38339.32822632076,38212.2930766478
112,45089.5849626828,44607.15154803426,45089.8194296695,37626.976946349,44625.57999456141,43650.51736843119,44815.51251899893,44026.7510470416,44028.39187500001,44873.33695478886,44909.0287372328,45020.21200086935
113,46060.7416853081,45780.78172379218,46009.2385862991,40409.3281523274,45986.71247283615,45254.29096228946,45481.52455346733,42400.07916344248,43341.759166666685,43863.18050528349,44711.9455467724,44516.04938144957
114,46752.3731644572,46299.1909740428,46719.3811780964,41517.9064056294,46617.5336084354,46003.54264928017,46162.63368261897,45876.960845541646,44781.23520833333,46016.83929926842,45505.38885318162,45766.76864204621
115,47469.053894819,46864.0152826676,47399.4867468573,42302.5154893729,47341.97376548347,46804.93589736625,46927.40372103137,47022.92982070206,44991.96979166667,46071.63279563409,46335.408361385205,46800.72312680123
116,46380.8332381558,46340.08843164085,46348.9964460006,41772.5018443159,46385.87549557881,45929.17166730046,46089.52267660534,45840.52215452951,44249.93541666667,45410.58343062962,45630.257867968416,46203.61728761094
